Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Dt_Customer_Year,Dt_Customer_Month,Marital_Status_Alone,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow,Education_2n Cycle,Education_Basic,Education_Graduation,Education_Master,Education_PhD
58138.0,0,0,58,6.455198563340122,4.48863636973214,6.304448802421981,5.153291594497779,4.48863636973214,4.48863636973214,1.3862943611198906,2.1972245773362196,2.3978952727983707,1.6094379124341003,7,0,0,0,0,0,0,1,57,2012,9,0,0,0,1,0,0,0,0,1,0,0
46344.0,1,1,38,2.4849066497880004,0.6931471805599453,1.9459101490553132,1.0986122886681098,0.6931471805599453,1.9459101490553132,1.0986122886681098,0.6931471805599453,0.6931471805599453,1.0986122886681098,5,0,0,0,0,0,0,0,60,2014,3,0,0,0,1,0,0,0,0,1,0,0
71613.0,0,0,26,6.056784013228625,3.912023005428146,4.852030263919617,4.718498871295094,3.091042453358316,3.7612001156935624,0.6931471805599453,2.1972245773362196,1.0986122886681098,2.3978952727983707,4,0,0,0,0,0,0,0,49,2013,8,0,0,0,0,1,0,0,0,1,0,0
26646.0,1,0,26,2.4849066497880004,1.6094379124341003,3.044522437723423,2.3978952727983707,1.3862943611198906,1.791759469228055,1.0986122886681098,1.0986122886681098,0.0,1.6094379124341003,6,0,0,0,0,0,0,0,30,2014,2,0,0,0,0,1,0,0,0,1,0,0
58293.0,1,0,94,5.159055299214529,3.784189633918261,4.77912349311153,3.8501476017100584,3.332204510175204,2.772588722239781,1.791759469228055,1.791759469228055,1.3862943611198906,1.9459101490553132,5,0,0,0,0,0,0,0,33,2014,1,0,0,1,0,0,0,0,0,0,0,1
62513.0,0,1,16,6.255750041753367,3.7612001156935624,4.59511985013459,0.0,3.7612001156935624,2.70805020110221,1.0986122886681098,1.9459101490553132,1.6094379124341003,2.3978952727983707,6,0,0,0,0,0,0,0,47,2013,9,0,0,0,0,1,0,0,0,0,1,0
55635.0,0,1,34,5.4638318050256105,4.189654742026425,5.10594547390058,3.9318256327243257,3.912023005428146,3.332204510175204,1.6094379124341003,2.0794415416798357,1.3862943611198906,2.0794415416798357,6,0,0,0,0,0,0,0,43,2012,11,0,1,0,0,0,0,0,0,1,0,0
33454.0,1,0,32,4.343805421853684,2.3978952727983707,4.04305126783455,1.3862943611198906,0.6931471805599453,3.1780538303479458,1.0986122886681098,1.6094379124341003,0.0,1.6094379124341003,8,0,0,0,0,0,0,0,29,2013,5,0,0,1,0,0,0,0,0,0,0,1
30351.0,1,0,19,2.70805020110221,0.0,3.2188758248682006,1.3862943611198906,1.3862943611198906,1.0986122886681098,0.6931471805599453,1.3862943611198906,0.0,1.0986122886681098,9,0,0,0,0,0,0,1,40,2013,6,0,0,0,0,1,0,0,0,0,0,1
5648.0,1,1,68,3.367295829986474,0.0,1.9459101490553132,0.6931471805599453,0.6931471805599453,2.6390573296152584,0.6931471805599453,0.6931471805599453,0.0,0.0,20,1,0,0,0,0,0,0,64,2014,3,0,0,0,0,1,0,0,0,0,0,1
51381.5,1,0,11,1.791759469228055,1.791759469228055,1.9459101490553132,0.0,1.0986122886681098,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,1.0986122886681098,7,0,0,0,0,0,0,0,31,2013,11,0,0,1,0,0,0,0,0,1,0,0
7500.0,0,0,59,1.9459101490553132,2.833213344056216,2.4849066497880004,2.4849066497880004,0.6931471805599453,2.833213344056216,0.6931471805599453,1.0986122886681098,0.0,1.3862943611198906,8,0,0,0,0,0,0,0,38,2012,11,0,0,1,0,0,0,0,1,0,0,0
63033.0,0,0,82,5.272999558563747,4.127134385045092,6.175867270105761,5.420534999272286,4.727387818712341,3.4339872044851463,0.6931471805599453,1.3862943611198906,1.6094379124341003,2.1972245773362196,2,0,0,0,0,0,0,0,55,2013,11,0,1,0,0,0,0,0,0,1,0,0
59354.0,1,1,53,5.455321115357702,1.0986122886681098,3.9889840465642745,1.3862943611198906,1.791759469228055,2.70805020110221,1.3862943611198906,1.9459101490553132,0.6931471805599453,1.791759469228055,6,0,0,0,0,0,0,0,62,2013,11,0,1,0,0,0,0,0,0,0,1,0
